State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2012,Parts per million,Events Excluded,4153,98,150,153,0,978,0,0,Certified,6,0.064773,0.008637,0.081,6/30/2012 12:00,0.081,7/26/2012 13:00,0.081,7/30/2012 12:00,0.08,5/15/2012 15:00,0.081,0.081,0.08,0.077,0.071,0.065,0.056,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/30/2013 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2012,Parts per million,Events Inclucded,4158,98,150,153,5,978,0,0,Certified,6,0.06488,0.008835,0.089,8/12/2012 14:00,0.081,6/30/2012 12:00,0.081,7/26/2012 13:00,0.081,7/30/2012 12:00,0.081,0.081,0.08,0.077,0.071,0.065,0.056,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/30/2013 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2012,Parts per million,Concurred Events Excluded,4158,98,150,153,5,978,0,0,Certified,6,0.06488,0.008835,0.089,8/12/2012 14:00,0.081,6/30/2012 12:00,0.081,7/26/2012 13:00,0.081,7/30/2012 12:00,0.081,0.081,0.08,0.077,0.071,0.065,0.056,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/30/2013 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2012,Parts per million,Concurred Events Excluded,4180,98,150,153,0,0,0,0,Certified,0,0.05916,0.007751,0.078,8/12/2012 11:00,0.076,8/18/2012 11:00,0.074,6/21/2012 11:00,0.073,7/1/2012 9:00,0.076,0.074,0.072,0.069,0.065,0.059,0.051,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/30/2013 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2012,Parts per million,Events Inclucded,4180,98,150,153,0,0,0,0,Certified,0,0.05916,0.007751,0.078,8/12/2012 11:00,0.076,8/18/2012 11:00,0.074,6/21/2012 11:00,0.073,7/1/2012 9:00,0.076,0.074,0.072,0.069,0.065,0.059,0.051,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/30/2013 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2012,Parts per million,Events Excluded,4180,98,150,153,0,0,0,0,Certified,0,0.059107,0.007648,0.076,8/18/2012 11:00,0.074,6/21/2012 11:00,0.073,7/1/2012 9:00,0.073,8/15/2012 11:00,0.074,0.073,0.071,0.069,0.065,0.059,0.051,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/30/2013 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2012,Parts per million,Events Inclucded,4180,98,150,153,0,0,2,2,Certified,0,0.05916,0.007751,0.078,8/12/2012 11:00,0.076,8/18/2012 11:00,0.074,6/21/2012 11:00,0.073,7/1/2012 9:00,0.076,0.074,0.072,0.069,0.065,0.059,0.051,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/30/2013 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2012,Parts per million,Concurred Events Excluded,4180,98,150,153,0,0,2,2,Certified,0,0.05916,0.007751,0.078,8/12/2012 11:00,0.076,8/18/2012 11:00,0.074,6/21/2012 11:00,0.073,7/1/2012 9:00,0.076,0.074,0.072,0.069,0.065,0.059,0.051,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/30/2013 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2012,Parts per million,Events Excluded,4180,98,150,153,0,0,1,1,Certified,0,0.059107,0.007648,0.076,8/18/2012 11:00,0.074,6/21/2012 11:00,0.073,7/1/2012 9:00,0.073,8/15/2012 11:00,0.074,0.073,0.071,0.069,0.065,0.059,0.051,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/30/2013 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2012,Knots,No Events,8777,100,366,366,0,7,,,Certification not required,1,4.820679,3.195403,23.1,5/25/2012 1:00,22.1,4/4/2012 23:00,22.1,5/25/2012 0:00,21.5,5/24/2012 23:00,15.7,14,11.4,9.4,6.3,3.7,1.9,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/17/2013 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
