State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,4113,96,147,153,0,279,0,0,Certification not required,18,0.056449,0.008151,0.081,8/23/2011 14:00,0.076,7/2/2011 14:00,0.076,8/13/2011 16:00,0.075,6/27/2011 15:00,0.076,0.076,0.071,0.067,0.062,0.057,0.049,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4154,95,145,153,0,0,0,0,Certification not required,0,0.050614,0.006699,0.066,8/23/2011 11:00,0.065,8/13/2011 11:00,0.065,8/24/2011 11:00,0.063,6/4/2011 13:00,0.065,0.065,0.063,0.06,0.055,0.051,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4154,95,145,153,0,0,0,0,Certification not required,0,0.050614,0.006699,0.066,8/23/2011 11:00,0.065,8/13/2011 11:00,0.065,8/24/2011 11:00,0.063,6/4/2011 13:00,0.065,0.065,0.063,0.06,0.055,0.051,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2011,Knots,No Events,8754,100,365,365,0,6,,,Certification not required,2,4.676719,3.152894,24.8,5/15/2011 9:00,24.3,5/15/2011 10:00,22.8,3/23/2011 23:00,22.8,5/15/2011 11:00,15.2,13.3,11.1,9.1,6.1,3.6,1.8,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",4/12/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61102,1,NAD83,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,2011,Degrees Compass,No Events,8754,100,365,365,0,6,,,Certification not required,0,164.280215,98.626506,360,5/15/2011 23:00,360,7/19/2011 0:00,360,8/7/2011 17:00,360,11/29/2011 19:00,350,342,325,298,244,176,49,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",4/12/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68101,1,NAD83,Sample Flow Rate- CV,24 HOUR,,Observed Values,Multiple Methods Used,2011,Percent,No Events,118,100,60,61,0,2,,,Certification not required,44,0.172881,0.163384,1,7/29/2011 0:00,0.8,7/26/2011 0:00,0.8,8/4/2011 0:00,0.7,8/1/2011 0:00,0.8,0.8,0.4,0.3,0.2,0.1,0.05,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/20/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68102,1,NAD83,Sample Volume,24 HOUR,,Observed Values,Multiple Methods Used,2011,Cubic meter,No Events,118,100,60,61,0,2,,,Certification not required,0,23.967797,0.147272,24,1/6/2011 0:00,24,1/9/2011 0:00,24,1/12/2011 0:00,24,1/15/2011 0:00,24,24,24,24,24,24,24,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/20/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68103,1,NAD83,Ambient Min Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2011,Degrees Centigrade,No Events,118,100,60,61,0,2,,,Certification not required,0,4.833898,9.524653,23.5,8/25/2011 0:00,22.9,8/31/2011 0:00,22,8/28/2011 0:00,21.9,6/29/2011 0:00,22.9,22,20.3,18.3,11.9,3.5,-6.5,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/20/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68104,1,NAD83,Ambient Max Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2011,Degrees Centigrade,No Events,118,100,60,61,0,2,,,Certification not required,0,16.659322,11.052905,36.6,8/25/2011 0:00,35.3,8/13/2011 0:00,35.2,7/17/2011 0:00,34.9,8/22/2011 0:00,35.3,35.2,33.7,32.1,27.5,14.8,2.8,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/20/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68105,1,NAD83,Ambient Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2011,Degrees Centigrade,No Events,118,100,60,61,0,2,,,Certification not required,0,10.752542,10.630586,31.1,8/25/2011 0:00,29.1,8/31/2011 0:00,28.7,6/29/2011 0:00,28.3,8/22/2011 0:00,29.1,28.7,27.3,26.1,21,8.8,-1.9,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/20/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68106,1,NAD83,Sample Min Baro Pressure,24 HOUR,,Observed Values,Multiple Methods Used,2011,Millimeters (mercury),No Events,118,100,60,61,0,2,,,Certification not required,0,647.101695,5.049143,659,11/26/2011 0:00,659,12/23/2011 0:00,656,1/12/2011 0:00,656,1/27/2011 0:00,659,656,656,654,650,647,640,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/20/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68107,1,NAD83,Sample Max Baro Pressure,24 HOUR,,Observed Values,Multiple Methods Used,2011,Millimeters (mercury),No Events,118,100,60,61,0,2,,,Certification not required,0,653.059322,4.582188,666,11/26/2011 0:00,664,12/23/2011 0:00,663,12/17/2011 0:00,662,11/2/2011 0:00,664,663,661,660,656,653,647,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/20/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68108,1,NAD83,Sample Baro Pressure,24 HOUR,,Observed Values,Multiple Methods Used,2011,Millimeters (mercury),No Events,118,100,60,61,0,2,,,Certification not required,0,650.322034,4.746355,664,11/26/2011 0:00,662,12/23/2011 0:00,660,12/17/2011 0:00,659,2/2/2011 0:00,662,660,658,657,653,650,644,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/20/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,68109,1,NAD83,Elapsed Sample Time,24 HOUR,,Observed Values,Multiple Methods Used,2011,Minutes,No Events,118,100,60,61,0,2,,,Certification not required,0,1439.516949,2.111155,1440,1/6/2011 0:00,1440,1/9/2011 0:00,1440,1/12/2011 0:00,1440,1/18/2011 0:00,1440,1440,1440,1440,1440,1440,1439,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",1/20/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,88101,1,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,116,96,116,121,0,2,3,3,Certification not required,0,7.750862,9.143403,57.5,1/6/2011 0:00,56.6,1/15/2011 0:00,35.6,1/9/2011 0:00,28.8,12/17/2011 0:00,56.6,35.6,23.7,17.9,8.1,4.9,1.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",6/7/2014 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
