State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2008,Parts per million,Events Excluded,3958,99,151,153,0,90,0,0,Certification not required,46,0.061,0.010565,0.092,7/31/2008 14:00,0.087,6/30/2008 13:00,0.084,7/23/2008 12:00,0.083,7/29/2008 12:00,0.087,0.083,0.079,0.075,0.069,0.061,0.051,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2008,Parts per million,Events Inclucded,4006,99,151,153,48,90,0,0,Certification not required,46,0.061285,0.010788,0.092,7/31/2008 14:00,0.087,6/30/2008 13:00,0.086,7/8/2008 12:00,0.084,7/23/2008 12:00,0.087,0.084,0.08,0.077,0.069,0.062,0.051,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2008,Parts per million,Concurred Events Excluded,4006,99,151,153,48,90,0,0,Certification not required,46,0.061285,0.010788,0.092,7/31/2008 14:00,0.087,6/30/2008 13:00,0.086,7/8/2008 12:00,0.084,7/23/2008 12:00,0.087,0.084,0.08,0.077,0.069,0.062,0.051,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2008,Parts per million,Concurred Events Excluded,4027,99,151,153,0,0,0,0,Certification not required,0,0.055172,0.009025,0.079,7/8/2008 10:00,0.075,7/9/2008 11:00,0.074,6/30/2008 10:00,0.072,7/31/2008 11:00,0.075,0.072,0.07,0.067,0.062,0.056,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2008,Parts per million,Events Excluded,3986,99,151,153,0,0,0,0,Certification not required,0,0.054947,0.008749,0.074,6/30/2008 10:00,0.072,7/31/2008 11:00,0.071,6/1/2008 10:00,0.071,7/23/2008 10:00,0.072,0.071,0.07,0.067,0.062,0.056,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2008,Parts per million,Events Inclucded,4027,99,151,153,0,0,0,0,Certification not required,0,0.055172,0.009025,0.079,7/8/2008 10:00,0.075,7/9/2008 11:00,0.074,6/30/2008 10:00,0.072,7/31/2008 11:00,0.075,0.072,0.07,0.067,0.062,0.056,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2008,Parts per million,Events Inclucded,4027,99,151,153,0,0,1,1,Certification not required,0,0.055172,0.009025,0.079,7/8/2008 10:00,0.075,7/9/2008 11:00,0.074,6/30/2008 10:00,0.072,7/31/2008 11:00,0.075,0.072,0.07,0.067,0.062,0.056,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2008,Parts per million,Events Excluded,3986,99,151,153,0,0,0,0,Certification not required,0,0.054947,0.008749,0.074,6/30/2008 10:00,0.072,7/31/2008 11:00,0.071,6/1/2008 10:00,0.071,7/23/2008 10:00,0.072,0.071,0.07,0.067,0.062,0.056,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,44201,1,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2008,Parts per million,Concurred Events Excluded,4027,99,151,153,0,0,1,1,Certification not required,0,0.055172,0.009025,0.079,7/8/2008 10:00,0.075,7/9/2008 11:00,0.074,6/30/2008 10:00,0.072,7/31/2008 11:00,0.075,0.072,0.07,0.067,0.062,0.056,0.046,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",8/4/2012 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
49,3,3,61101,1,NAD83,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2008,Knots,No Events,8780,100,366,366,0,4,,,Certification not required,10,4.636116,3.094662,25.8,4/14/2008 23:00,25,1/27/2008 18:00,24.6,4/14/2008 22:00,24.1,1/4/2008 23:00,15,12.7,10.5,8.9,6.1,3.7,1.7,Brigham City,Utah,Box Elder,Brigham City,"Brigham City, UT",3/7/2010 0:00,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT
(41.492707, -112.018863)"
