State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,State Name,County Name,City Name,CBSA Name,Date of Last Change,Location 1
49,11,4,43818,6,WGS84,"1,1,2,2-Tetrachloroethane",24 HOUR,,Observed Values,CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,2013,Parts per billion Carbon,No Events,52,85,45,61,0,16,,,Certification not required,0,0.000385,0.002774,0.02,10/13/2013 0:00,0,1/4/2013 0:00,0,1/10/2013 0:00,0,1/16/2013 0:00,0.02,0,0,0,0,0,0,Bountiful Viewmont,Utah,Davis,Bountiful,"Ogden-Clearfield, UT",3/11/2014 0:00,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH
(40.902967, -111.884467)"
49,11,4,43821,6,WGS84,"1,1,2-Trichloro-1,2,2-trifluoroethane",24 HOUR,,Observed Values,Canister Subambient Pressure - Multi Detector GC,2013,Parts per billion Carbon,No Events,52,85,45,61,0,16,,,Certification not required,0,0.1535,0.018253,0.192,6/3/2013 0:00,0.192,12/6/2013 0:00,0.192,12/13/2013 0:00,0.184,12/15/2013 0:00,0.192,0.192,0.192,0.178,0.168,0.152,0.13,Bountiful Viewmont,Utah,Davis,Bountiful,"Ogden-Clearfield, UT",3/11/2014 0:00,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH
(40.902967, -111.884467)"
49,11,4,43820,6,WGS84,"1,1,2-Trichloroethane",24 HOUR,,Observed Values,CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,2013,Parts per billion Carbon,No Events,52,85,45,61,0,16,,,Certification not required,0,0,0,0,1/4/2013 0:00,0,1/10/2013 0:00,0,1/16/2013 0:00,0,1/22/2013 0:00,0,0,0,0,0,0,0,Bountiful Viewmont,Utah,Davis,Bountiful,"Ogden-Clearfield, UT",3/11/2014 0:00,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH
(40.902967, -111.884467)"
49,11,4,43813,6,WGS84,"1,1-Dichloroethane",24 HOUR,,Observed Values,CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,2013,Parts per billion Carbon,No Events,52,85,45,61,0,16,,,Certification not required,0,0,0,0,1/4/2013 0:00,0,1/10/2013 0:00,0,1/16/2013 0:00,0,1/22/2013 0:00,0,0,0,0,0,0,0,Bountiful Viewmont,Utah,Davis,Bountiful,"Ogden-Clearfield, UT",3/11/2014 0:00,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH
(40.902967, -111.884467)"
49,11,4,43826,6,WGS84,"1,1-Dichloroethylene",24 HOUR,,Observed Values,CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,2013,Parts per billion Carbon,No Events,52,85,45,61,0,16,,,Certification not required,0,0,0,0,1/4/2013 0:00,0,1/10/2013 0:00,0,1/16/2013 0:00,0,1/22/2013 0:00,0,0,0,0,0,0,0,Bountiful Viewmont,Utah,Davis,Bountiful,"Ogden-Clearfield, UT",3/11/2014 0:00,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH
(40.902967, -111.884467)"
49,11,4,45225,8,WGS84,"1,2,3-Trimethylbenzene",24 HOUR,,Observed Values,SS CANISTER PRESSURIZED - CRYOGENIC PRECONCENTRATION GC/FID,2013,Parts per billion Carbon,No Events,52,85,45,61,0,16,,,Certification not required,8,1.275923,4.728485,31.3,12/13/2013 0:00,14.8,12/15/2013 0:00,3.86,12/18/2013 0:00,2.27,12/21/2013 0:00,31.3,14.8,3.86,0.895,0.458,0.255,0.074,Bountiful Viewmont,Utah,Davis,Bountiful,"Ogden-Clearfield, UT",3/11/2014 0:00,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH
(40.902967, -111.884467)"
49,11,4,45810,6,WGS84,"1,2,4-Trichlorobenzene",24 HOUR,,Observed Values,Canister Subambient Pressure - Multi Detector GC,2013,Parts per billion Carbon,No Events,52,85,45,61,0,16,,,Certification not required,0,0.004615,0.033282,0.24,10/13/2013 0:00,0,1/4/2013 0:00,0,1/10/2013 0:00,0,1/16/2013 0:00,0.24,0,0,0,0,0,0,Bountiful Viewmont,Utah,Davis,Bountiful,"Ogden-Clearfield, UT",3/11/2014 0:00,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH
(40.902967, -111.884467)"
49,11,4,45208,6,WGS84,"1,2,4-Trimethylbenzene",24 HOUR,,Observed Values,CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,2013,Parts per billion Carbon,No Events,52,85,45,61,0,16,,,Certification not required,1,9.402923,49.355664,348.3,12/13/2013 0:00,84.6,12/15/2013 0:00,16.02,12/18/2013 0:00,8.145,12/21/2013 0:00,348.3,84.6,16.02,2.151,0.846,0.513,0.234,Bountiful Viewmont,Utah,Davis,Bountiful,"Ogden-Clearfield, UT",3/11/2014 0:00,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH
(40.902967, -111.884467)"
49,11,4,45208,8,WGS84,"1,2,4-Trimethylbenzene",24 HOUR,,Observed Values,SS CANISTER PRESSURIZED - CRYOGENIC PRECONCENTRATION GC/FID,2013,Parts per billion Carbon,No Events,52,85,45,61,0,16,,,Certification not required,0,7.3185,31.243826,214,12/13/2013 0:00,79.2,12/15/2013 0:00,17.1,12/18/2013 0:00,9.98,12/21/2013 0:00,214,79.2,17.1,3.44,1.67,1.13,0.684,Bountiful Viewmont,Utah,Davis,Bountiful,"Ogden-Clearfield, UT",3/11/2014 0:00,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH
(40.902967, -111.884467)"
49,11,4,45805,6,WGS84,"1,2-Dichlorobenzene",24 HOUR,,Observed Values,CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,2013,Parts per billion Carbon,No Events,52,85,45,61,0,16,,,Certification not required,52,0.069,0,0.069,1/4/2013 0:00,0.069,1/10/2013 0:00,0.069,1/16/2013 0:00,0.069,1/22/2013 0:00,0.069,0.069,0.069,0.069,0.069,0.069,0.069,Bountiful Viewmont,Utah,Davis,Bountiful,"Ogden-Clearfield, UT",3/11/2014 0:00,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH
(40.902967, -111.884467)"
